#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Starman - 2012 Remaster","David Bowie",100,7B,45,2023-07-14,04:14,82,"glam rock, art rock","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)",1972-06-06,49,17,0,55,0,50,-10,F Major,4,0pQskrTITgmCMyr85tb9qq,USJT11200004
2,"Mi Gato","Rosario",105,8B,87,2023-07-14,03:22,33,"flamenco, flamenco pop","Esencial Rosario",2013-07-23,69,49,0,63,0,0,-4,C Major,4,5Hu3Y13dE9rEZire0tlAMW,ES5119201609
3,"In Da Club","50 Cent",90,11A,71,2023-07-14,03:13,84,"old school hip hop, east coast hip hop","Get Rich Or Die Tryin'",2003-02-06,90,26,0,78,30,0,-3,F#/G♭ Minor,4,7iL6o9tox1zgHpKUfh9vuC,USIR10300033
4,"Solo Si Es Contigo","Bombai,Bebe",175,9B,59,2023-07-14,03:36,33,"","Solo Si Es Contigo",2017-03-03,57,33,0,96,0,10,-6,G Major,4,0Ttqiz6DNvPkThvbnr9vYJ,ES84S1700070
5,"Call Me","Blondie",143,7A,82,2023-07-14,03:32,71,"","Atomic/Atomix",1999-01-01,56,0,0,74,0,0,-7,D Minor,4,4qO03RMQm88DdpTJcxlglY,USCH38900008
6,"Take on Me","a-ha",84,11A,90,2023-07-14,03:45,89,"new wave, synthpop","Hunting High and Low",1985-06-01,57,2,0,88,0,0,-8,F#/G♭ Minor,4,2WfaOiMkCvy7F5fcp2zZ8L,USWB19901214
7,"All Star","Smash Mouth",104,1B,87,2023-07-14,03:20,80,"","Astro Lounge",1999-06-08,73,4,0,78,0,0,-6,B Major,4,3cfOd4CMv2snFaKAnMdnvK,USIR19902220
8,"Hello","Martin Solveig,Dragonette",128,5B,93,2023-07-14,04:41,0,"french house, ","Smash",2011-01-01,67,3,1,46,0,0,-4,D#/E♭ Major,4,44Pv0rinObvVa4nQ4TXLga,FR2PA1000020
9,"Story of My Life","One Direction",121,5B,66,2023-07-14,04:05,85,"","Midnight Memories (Deluxe)",2013-11-25,60,23,0,29,0,10,-6,D#/E♭ Major,4,4nVBt6MZDDP6tRVdQTgxJg,GBHMU1300210
10,"Hotel California - 2013 Remaster","Eagles",147,10B,51,2023-07-14,06:31,86,"classic rock, yacht rock, soft rock","Hotel California (2013 Remaster)",1976-12-08,58,1,0,61,0,0,-9,D Major,4,40riOy7x9W7GXjyGp4pjAv,USEE11300353
